Squad,SavePercentage,CSPercentage
Liverpool,65.5,36.8
Manchester City,70.3,36.8
Manchester Utd,72.4,28.9
Newcastle Utd,60.9,21.1
QPR,65.1,15.8
Southampton,69.7,39.5
Stoke City,67.6,23.7
Sunderland,72.3,34.2
Swansea City,73.9,34.2
Tottenham,68.8,23.7
West Brom,72,42.1
West Ham,73,23.7
Arsenal,75.7,47.4
Aston Villa,59.1,15.8
Bournemouth,55.9,18.4
Chelsea,69.2,23.7
Crystal Palace,69.6,21.1
Everton,69.3,26.3
Leicester City,73.5,39.5
Liverpool,61.5,28.9
Manchester City,67.2,42.1
Manchester Utd,70.8,47.4
Newcastle Utd,63.5,21.1
Norwich City,59.4,13.2
Southampton,69.2,31.6
Stoke City,68.6,26.3
Sunderland,70.9,18.4
Swansea City,68.5,23.7
Tottenham,71.1,34.2
Watford,59.3,28.9
West Brom,69,28.9
West Ham,68.5,28.9
Arsenal,79.6,34.2
Bournemouth,65.6,26.3
Burnley,75.5,26.3
Chelsea,70.5,42.1
Crystal Palace,65.3,18.4
Everton,72.3,34.2
Hull City,67.8,13.2
Leicester City,68.4,23.7
Liverpool,65.8,31.6
Manchester City,64.8,31.6
Manchester Utd,78.4,44.7
Middlesbrough,71.3,28.9
Southampton,67.7,36.8
Stoke City,69.4,28.9
Sunderland,73.8,15.8
Swansea City,64.2,21.1
Tottenham,78.2,44.7
Watford,65.2,18.4
West Brom,70,15.8
West Ham,67.6,26.3
Arsenal,67.6,34.2
Bournemouth,65.5,15.8
Brighton,69,26.3
Burnley,77.5,31.6
Chelsea,69,42.1
Crystal Palace,68.3,23.7
Everton,68.6,26.3
Huddersfield,65.4,26.3
Leicester City,64,23.7
Liverpool,64.6,44.7
Manchester City,67.1,47.4
Manchester Utd,81.1,50
Newcastle Utd,70.3,23.7
Southampton,66.7,21.1
Stoke City,70.3,15.8
Swansea City,70.9,23.7
Tottenham,72.4,42.1
Watford,61.6,23.7
West Brom,64.5,26.3
West Ham,65,26.3
Arsenal,74.4,21.1
Bournemouth,61.1,26.3
Brighton,68.2,18.4
Burnley,66.5,21.1
Cardiff City,67.7,26.3
Chelsea,68.3,42.1
Crystal Palace,69,31.6
Everton,66.2,36.8
Fulham,65.6,13.2
Huddersfield,61,13.2
Leicester City,68.1,26.3
Liverpool,77.1,55.3
Manchester City,75,52.6
Manchester Utd,71.6,18.4
Newcastle Utd,69.1,28.9
Southampton,62.9,18.4
Tottenham,75.5,34.2
Watford,67.6,18.4
West Ham,73.4,18.4
Wolves,69.1,23.7
Arsenal,78.3,26.3
Aston Villa,64.6,18.4
Bournemouth,67,13.2
Brighton,68.3,23.7
Burnley,71.1,39.5
Chelsea,54.8,23.7
Crystal Palace,70.4,26.3
Everton,63.4,23.7
Leicester City,73.8,34.2
Liverpool,70.1,39.5
Manchester City,70.1,44.7
Manchester Utd,73.6,34.2
Newcastle Utd,70.5,28.9
Norwich City,64.7,13.2
Sheffield Utd,73,34.2
Southampton,65,23.7
Tottenham,75.6,21.1
Watford,66.3,23.7
West Ham,68,18.4
Wolves,67.5,34.2
Arsenal,71.6,40
Aston Villa,63.1,26.7
Brentford,67.2,26.7
Brighton,74.1,33.3
Burnley,66.1,14.3
Chelsea,86.7,53.3
Crystal Palace,67.7,26.7
Everton,61.3,20
Leeds United,68.2,20
Leicester City,67.6,6.7
Liverpool,71.4,60
Manchester City,73.3,53.3
Manchester Utd,66.2,20
Newcastle Utd,62.3,6.7
Norwich City,62.7,20
Southampton,65,33.3
Tottenham,70.4,42.9
Watford,62.7,0
West Ham,71.2,20
Wolves,81.8,33.3
